Avg. visit duration [s],Pages per visit,Influence,Category
684,8.62,0.3893,Search Engines
1294,11.22,0.1494,Video Streaming
604,8.46,0.0902,Social Networks and Online Communities
633,11.19,0.0283,Social Networks and Online Communities
466,11.06,0.0270,Social Networks and Online Communities
359,7.98,0.0240,Search Engines
228,2.97,0.0227,Encyclopedias
673,9.3,0.0166,Search Engines
458,5.7,0.0148,News and Media
592,9.24,0.0144,Adult
196,1.57,0.0135,Social Networks and Online Communities
549,4.15,0.0118,Video Streaming
510,11.4,0.0110,Adult
419,8.67,0.0107,E commerce
440,8.33,0.0101,Email
535,6.7,0.0099,News and Media
475,6.95,0.0094,Adult
210,2.86,0.0085,Computer Technology
564,7.64,0.0073,Programming and Developer Software
569,6.49,0.0069,Social Networks and Online Communities
864,17.1,0.0063,Social Networks and Online Communities
546,8.03,0.0060,Adult
432,6.45,0.0060,Social Networks and Online Communities
241,10.08,0.0057,Social Networks and Online Communities
423,8.63,0.0057,Social Networks and Online Communities
1208,12.78,0.0053,News and Media
499,4.16,0.0052,Games
282,3.97,0.0049,Programming and Developer Software
430,5.32,0.0048,Search Engines
117,2.43,0.0045,Programming and Developer Software
492,6.69,0.0044,Email
1005,10.84,0.0044,Games
357,3.6,0.0043,News and Media
298,4.85,0.0043,Social Networks and Online Communities
560,7.29,0.0042,Search Engines
230,3.21,0.0040,News and Media
1028,7.74,0.0039,Arts and Entertainment
375,4.34,0.0038,News and Media
240,2.28,0.0035,News and Media
151,2.32,0.0034,Consumer Electronics
399,6.93,0.0034,E commerce
298,4.05,0.0034,Arts and Entertainment
314,12.34,0.0034,Search Engines
51,2.19,0.0029,Weather
682,12.41,0.0030,Social Networks and Online Communities
214,4.47,0.0028,Telecommunications
53,1.75,0.0028,Weather
77,1.91,0.0028,Adult
286,3.16,0.0028,News and Media
575,3.53,0.0027,Sports